epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.09,1.5689,3.37402,1.39231,0.94475,0.87785,0.92571,0.59208,1.3134,1.00117,1.13294,0.00332596,0.00332596,0.00332596
2,413.296,1.22842,1.71735,1.15917,0.95224,0.86605,0.93823,0.64318,1.22692,0.94094,1.13046,0.00648111,0.00648111,0.00648111
3,608.955,1.19431,1.47443,1.1383,0.86884,0.86069,0.90436,0.59737,1.3152,0.99803,1.16398,0.00942733,0.00942733,0.00942733
4,807.159,1.18362,1.2448,1.14939,0.91142,0.92851,0.95248,0.66878,1.18959,0.79807,1.11032,0.009175,0.009175,0.009175
5,1000.38,1.09765,0.95982,1.11083,0.91224,0.89678,0.94979,0.70378,1.06281,0.76744,1.06948,0.0089,0.0089,0.0089
6,1200.28,1.02379,0.79348,1.07134,0.94737,0.93405,0.96836,0.75368,0.99613,0.66145,1.00233,0.008625,0.008625,0.008625
7,1295,0.97146,0.7127,1.04664,0.9814,0.96448,0.97967,0.77419,0.97274,0.62756,1.01589,0.00835,0.00835,0.00835
8,1345.05,0.95319,0.67078,1.03437,0.97792,0.95999,0.9797,0.78885,0.91961,0.55819,0.97164,0.00822308,0.00822308,0.00822308
9,1395.14,0.90211,0.62819,1.01987,0.98024,0.95409,0.98558,0.80819,0.87222,0.52965,0.94841,0.00815814,0.00815814,0.00815814
10,1444.84,0.86553,0.58937,1.00054,0.99052,0.97493,0.98619,0.81243,0.87082,0.49999,0.95267,0.00810426,0.00810426,0.00810426
11,1495.39,0.85023,0.56162,0.99297,0.981,0.97162,0.98637,0.82115,0.81758,0.49627,0.93998,0.00802,0.00802,0.00802
12,1545.6,0.83705,0.55149,0.98814,0.90421,0.9731,0.97606,0.79787,0.81795,0.49943,0.95052,0.00794528,0.00794528,0.00794528
13,1596.89,0.8161,0.53197,0.97959,0.98688,0.97422,0.98701,0.81056,0.81167,0.48611,0.93771,0.00787857,0.00787857,0.00787857
14,1646.04,0.80519,0.5282,0.97071,0.98519,0.97596,0.98816,0.82906,0.78348,0.45966,0.91611,0.00781864,0.00781864,0.00781864
15,1695.15,0.79551,0.50816,0.96854,0.99178,0.97819,0.98923,0.84533,0.75523,0.43889,0.90385,0.00776452,0.00776452,0.00776452
16,1743.85,0.77544,0.5002,0.9626,0.99138,0.97745,0.98863,0.85694,0.75862,0.43587,0.89934,0.00767969,0.00767969,0.00767969
17,1793.55,0.76399,0.4863,0.95477,0.99516,0.97939,0.99102,0.85969,0.76221,0.4304,0.90708,0.00763582,0.00763582,0.00763582
